Image,Method,Total_Detections,Avg_Conf,TP,FP,GT_Count
02310.png,VI,3,0.6875149408976237,3,0,3
02317.png,VI,9,0.6426298254066043,8,1,8
02322.png,VI,5,0.5438080072402954,3,2,3
02337.png,VI,2,0.6795810461044312,2,0,2
02352.png,VI,3,0.626143624385198,2,1,2
02369.png,VI,3,0.7820997834205627,3,0,3
02394.png,VI,4,0.7586131766438484,3,1,3
02405.png,VI,5,0.6381738424301148,4,1,4
02440.png,VI,3,0.6077700654665629,3,0,3
02450.png,VI,3,0.6046709418296814,3,0,3
02455.png,VI,6,0.6427840739488602,6,0,6
02464.png,VI,10,0.5400292426347733,6,4,8
02473.png,VI,15,0.5421094993750254,9,6,10
02478.png,VI,9,0.6799513498942057,8,1,8
02486.png,VI,7,0.543629697390965,4,3,5
02495.png,VI,11,0.43155827576463873,3,8,3
02522.png,VI,3,0.5234707196553549,2,1,3
02527.png,VI,0,0.0,0,0,1
02530.png,VI,0,0.0,0,0,1
02533.png,VI,1,0.28632688522338867,0,1,2
02544.png,VI,3,0.5247553388277689,2,1,2
02556.png,VI,5,0.6412696242332458,4,1,4
02572.png,VI,6,0.5738376627365748,5,1,8
02606.png,VI,7,0.6069074784006391,4,3,5
02611.png,VI,4,0.7423426955938339,4,0,4
02624.png,VI,10,0.6025372684001923,6,4,6
02641.png,VI,1,0.751095712184906,1,0,5
02651.png,VI,2,0.5130831152200699,1,1,2
02658.png,VI,5,0.7871919751167298,5,0,6
02667.png,VI,6,0.7213396926720937,6,0,6
02709.png,VI,10,0.6557141810655593,8,2,10
02720.png,VI,9,0.6116360558403863,6,3,6
02731.png,VI,6,0.7067557324965795,6,0,6
02739.png,VI,3,0.6263387799263,2,1,2
02754.png,VI,1,0.8930459022521973,1,0,1
02757.png,VI,2,0.5715682357549667,1,1,1
02762.png,VI,2,0.3807988315820694,0,2,0
02778.png,VI,0,0.0,0,0,0
02786.png,VI,2,0.5791576206684113,1,1,2
02816.png,VI,4,0.7590727061033249,4,0,4
02821.png,VI,4,0.7254201173782349,3,1,3
02846.png,VI,1,0.8671039342880249,1,0,1
02860.png,VI,3,0.7570654551188151,2,1,2
02869.png,VI,3,0.8481229543685913,3,0,3
02896.png,VI,3,0.6215250790119171,2,1,2
02956.png,VI,12,0.5586510598659515,9,3,10
03019.png,VI,5,0.7630761504173279,5,0,7
03045.png,VI,8,0.6056743487715721,8,0,8
